FAQ questions,FAQ answers,modifiert question,type change
Warum finde ich bei Android nicht dieselben Funktionen wie bei Apple?,"Die App wird für iOS und Android separat entwickelt. Eine Funktion wird zuerst bei iOS eingespielt und für Android erscheint das Update etwas zeitverzögert. Daher ist es üblich, dass beide Versionen einen unterschiedlichen Funktionsumfang enthalten. I.d.R. beträgt das Zeitfenster nur wenige Tage oder Wochen bis die Funktionen auch für Android-Geräte verfügbar sind. Am besten stellst Du Dein Smartphone auf automatische Updates um, sodass sich die App selbstständig aktualisiert.",wieso hab ich bei Android nicht alle Funktion wie apple?!,fehler
Warum finde ich bei Android nicht dieselben Funktionen wie bei Apple?,"Die App wird für iOS und Android separat entwickelt. Eine Funktion wird zuerst bei iOS eingespielt und für Android erscheint das Update etwas zeitverzögert. Daher ist es üblich, dass beide Versionen einen unterschiedlichen Funktionsumfang enthalten. I.d.R. beträgt das Zeitfenster nur wenige Tage oder Wochen bis die Funktionen auch für Android-Geräte verfügbar sind. Am besten stellst Du Dein Smartphone auf automatische Updates um, sodass sich die App selbstständig aktualisiert.",warum find ich bei androit nicht die selben funktionen wie bei Äpfel??,fehler
Kann ich im Großmarkt einkaufen?,"Als Geschäftskunde kannst Du im METRO Großmarkt einkaufen. Hier findest Du weitere Informationen, wie Du Kunde werden und im Markt einkaufen kannst.  ",KaNN ich im gros Markt eikaufen?!,fehler
Kann ich im Großmarkt einkaufen?,"Als Geschäftskunde kannst Du im METRO Großmarkt einkaufen. Hier findest Du weitere Informationen, wie Du Kunde werden und im Markt einkaufen kannst.  ",kann ich im grossmarkt einkafen?!,fehler
Wie bestelle ich im M.Shop?,"Um im M.Shop zu bestellen, musst Du für unseren Lieferservice für Gastronomie und Lebensmittelprofis registriert sein.  Wenn Du noch kein Lieferkunde bist, findest Du alle Infos zur Registrierung hier.     Du bist bereits Lieferkunde?  Super! Dann kannst Du direkt im M.Shop einkaufen: Zum M.Shop     Falls Du noch kein digitales Konto hast, kannst Du Dich hier registrieren. Vergiss nicht, Deine bestehende METRO Karte mit Deinem neuen digitalen Profil zu verknüpfen.     Du kannst Deine Bestellung auch ganz bequem über die METRO App aufgeben:  App herunterladen      Produkte suchen: Nutze die Suchleiste oder die Kategorien, um Deine gewünschten Artikel zu finden.  In den Warenkorb legen: Klicke auf das Einkaufswagen-Symbol neben dem Produkt.  Bestellung abschließen: Gehe zum Warenkorb und von dort aus ""zur Kasse"". Folge den Schritten, um deine Bestellung abzusenden.  Bestellung verfolgen: Im Bereich „Meine Bestellungen“ kannst Du den Status Deiner Lieferung jederzeit einsehen.",WIE BESTEL ich im M shoppp?!,fehler
Wie bestelle ich im M.Shop?,"Um im M.Shop zu bestellen, musst Du für unseren Lieferservice für Gastronomie und Lebensmittelprofis registriert sein.  Wenn Du noch kein Lieferkunde bist, findest Du alle Infos zur Registrierung hier.     Du bist bereits Lieferkunde?  Super! Dann kannst Du direkt im M.Shop einkaufen: Zum M.Shop     Falls Du noch kein digitales Konto hast, kannst Du Dich hier registrieren. Vergiss nicht, Deine bestehende METRO Karte mit Deinem neuen digitalen Profil zu verknüpfen.     Du kannst Deine Bestellung auch ganz bequem über die METRO App aufgeben:  App herunterladen      Produkte suchen: Nutze die Suchleiste oder die Kategorien, um Deine gewünschten Artikel zu finden.  In den Warenkorb legen: Klicke auf das Einkaufswagen-Symbol neben dem Produkt.  Bestellung abschließen: Gehe zum Warenkorb und von dort aus ""zur Kasse"". Folge den Schritten, um deine Bestellung abzusenden.  Bestellung verfolgen: Im Bereich „Meine Bestellungen“ kannst Du den Status Deiner Lieferung jederzeit einsehen.",wie kann ich bestellen im m shop??,fehler
Wie kann ich mein Passwort zurücksetzen oder ändern?,"Wähle auf der Login-Seite die Option „Passwort vergessen“ – entweder auf der Webseite oder in der App.   Gib Deine E-Mail-Adresse ein und folge den Anweisungen.     Falls das nicht funktioniert, wende Dich direkt an den Eingang Deines METRO Marktes oder wende dich an unser Service Center: Kontakt",Wie kann ich mein PW zurücksetzen oder was?!,fehler
Wie kann ich mein Passwort zurücksetzen oder ändern?,"Wähle auf der Login-Seite die Option „Passwort vergessen“ – entweder auf der Webseite oder in der App.   Gib Deine E-Mail-Adresse ein und folge den Anweisungen.     Falls das nicht funktioniert, wende Dich direkt an den Eingang Deines METRO Marktes oder wende dich an unser Service Center: Kontakt",wi kann ich mein passwort ändern odrr zurücksetzen..?,fehler
Was ist der Unterschied zwischen Gastro und Klassik Märkten?,"Im Gegensatz zu den METRO Klassik Märkten erwartet Dich in unseren METRO GASTRO Märkten ein fokussiertes Sortiment für die Bereiche Hotellerie, Gastronomie und Catering sowie bestimmte Zielgruppen wie Metzger und Kioske.  Entdecke unser Kernsortiment im Bereich Food mit Produkten, welche speziell auf die Bedürfnisse der verschiedenen Kundengruppen zugeschnitten. Dieses wird ergänzt um Non-Food-Profiartikel für den täglichen Bedarf.  Entdecke außerdem in unseren METRO GASTRO Märkten spezielle Produkte, Services und Angebote für Deinen gewerblichen Verbrauch. Frage einfach in Deinem METRO GASTRO Markt nach den speziellen Services für Deine Zielgruppe.  Weitere Informationen findest Du hier.",Waaaas ist der unterchied zwishcen Gastro und Klassik Märkten!!!!,fehler
Was ist der Unterschied zwischen Gastro und Klassik Märkten?,"Im Gegensatz zu den METRO Klassik Märkten erwartet Dich in unseren METRO GASTRO Märkten ein fokussiertes Sortiment für die Bereiche Hotellerie, Gastronomie und Catering sowie bestimmte Zielgruppen wie Metzger und Kioske.  Entdecke unser Kernsortiment im Bereich Food mit Produkten, welche speziell auf die Bedürfnisse der verschiedenen Kundengruppen zugeschnitten. Dieses wird ergänzt um Non-Food-Profiartikel für den täglichen Bedarf.  Entdecke außerdem in unseren METRO GASTRO Märkten spezielle Produkte, Services und Angebote für Deinen gewerblichen Verbrauch. Frage einfach in Deinem METRO GASTRO Markt nach den speziellen Services für Deine Zielgruppe.  Weitere Informationen findest Du hier.",was ist der unterschid zwischen GASTRO und klassik märkten ?,fehler
Wo finde ich mein Online-Kundenkonto?,Du kannst Dich oben rechts über den Login-Button in Deinem myMETRO Kundenkonto einloggen.,wo kann ich meinOnLinekundenkonto finden!!!!,fehler
Wo finde ich mein Online-Kundenkonto?,Du kannst Dich oben rechts über den Login-Button in Deinem myMETRO Kundenkonto einloggen.,wieso find ich nicht mein online kunden konto? :(,fehler
Wie kann ich mein Geschäft digitalisieren?,"Auf unserer zentralen Plattform ""DISH"" findest Du die passenden digitalen Lösungen für Dein Geschäft, um Deine Margen zu erhöhen und Deine digitale Präsenz zu steigern.      Ausführliche Informationen findest Du hier.",WIE kann ich meins Geschaefts digtaliesiren...,fehler
Wie kann ich mein Geschäft digitalisieren?,"Auf unserer zentralen Plattform ""DISH"" findest Du die passenden digitalen Lösungen für Dein Geschäft, um Deine Margen zu erhöhen und Deine digitale Präsenz zu steigern.      Ausführliche Informationen findest Du hier.",wie kann ich mein Geschäft Digitaliesieren!!,fehler
Wie kann ich meine E-Mail-Adresse ändern?,"Nachdem Du Dich in myMETRO angemeldet hast, klicke links im Menü auf Dein Profil und danach auf E-Mail-Adresse.  Dort kannst Du Deine E-Mail-Adresse ändern, indem Du die neue E-Mail-Adresse in dem Feld einträgst und danach unterhalb des Feldes auf die Fläche ""Änderung speichern"" klickst.",wie kannn ich meine e mail adresse aender??,fehler
Wie kann ich meine E-Mail-Adresse ändern?,"Nachdem Du Dich in myMETRO angemeldet hast, klicke links im Menü auf Dein Profil und danach auf E-Mail-Adresse.  Dort kannst Du Deine E-Mail-Adresse ändern, indem Du die neue E-Mail-Adresse in dem Feld einträgst und danach unterhalb des Feldes auf die Fläche ""Änderung speichern"" klickst.",wie kann ich MIENE E-mail adresse Ändern...?,fehler
Wo finde ich die Standorte der METRO Großmärkte?,Die Standorte unserer Großmärkte findest Du bequem über unsere Standort-Suche: www.metro.de/standorte,wohin sind die metro großmarkt standorte?!,fehler
Wo finde ich die Standorte der METRO Großmärkte?,Die Standorte unserer Großmärkte findest Du bequem über unsere Standort-Suche: www.metro.de/standorte,ich such die Standort von metro gros märkte...,fehler
Welche Liefergebiete gibt es?,Wir liefern national im deutschen Festland.,WELCHE LIEFERGEBIETE gibts???,fehler
Welche Liefergebiete gibt es?,Wir liefern national im deutschen Festland.,welche liefergebieten gibt es eig???,fehler
